SMILES,Binding Affinity,QED,LogP,SA Score,Shannon Entropy,Scaffold uniqueness,QuickVina Random Seed,QED Scaled,LogP Scaled,SA Score Scaled,Affinity Scaled,Final Reward
CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,0.0,0.4477030029267146,3.138600000000001,4.188773115089328,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCOc1cccc(C(=O)Nc2cc(C(=O)O)c(C)o2)c1,0.0,0.8829971904302942,2.937220000000001,2.1780730634029926,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1ccc(C2CC2C(=O)NNC(=S)Nc2ccc(Cl)cc2)cc1,0.0,0.5638829587038844,3.469900000000001,2.7456262779228275,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCOc1ccc(CCNC(=O)CN(c2ccc(Br)cc2)S(=O)(=O)c2ccccc2Br)cc1,0.0,0.35103897692550196,5.164500000000005,2.2135770255470018,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cn1cc(-c2cnc3c(c2)c(CC2CCCN2)cn3S(=O)(=O)c2ccc3ccccc3c2)cn1,0.0,0.4170060949318173,4.121500000000003,3.238349897608109,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
C=C1C(O)CC(Oc2cccc(O)c2C(C)=O)C(O)C1OC(=O)c1ccc(O)cc1,0.0,0.3314585324760919,1.9550999999999996,3.946132875514892,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC(=O)OCCn1nc2c(c1C)CCN(C(=O)c1cccc(C)c1)C2,0.0,0.8003844722312532,2.26154,2.4943380493634564,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1cccc(NC(=O)c2cc(-c3ccc(C(=O)NCCc4ccc(OC)c(OC)c4)cc3)nc3ccccc23)c1,0.0,0.21219039543098103,6.152400000000005,2.227798921029189,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
N#Cc1c(-c2ccccc2)nc2c(c1C(=O)N1CCOCC1)Cc1ccccc1-2,0.0,0.5314339813968145,3.6638800000000025,2.488778405684121,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
O=C(Cn1nnc2ccccc21)NCCc1ccc(Cl)cc1,0.0,0.7866345394903769,2.4436,1.8386937898790627,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1ccc(C(CNC(=O)NCc2ccon2)S(=O)(=O)c2ccc(F)cc2)cc1,0.0,0.5287693507113976,2.8367000000000013,2.8941251579561946,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
NC1CC(c2ccccc2NC(=O)c2ccccc2-c2cnc(C3CCC3)oc2=O)CCCC1n1cnc2c(Cl)nccc21,0.0,0.1593056696794973,6.845900000000006,4.069170039803228,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCn1ccc2cc(C=CC(O)=NO)ccc21,0.0,0.3683215780788523,3.0201000000000002,2.750068504917479,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1cccc(CCN(CCc2ccc(F)cc2)CCC(Cn2cc[nH]c2=N)c2ccccc2)c1,0.0,0.2657010408772208,5.404670000000005,3.2583195210420017,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1nc2sc(C(N)=O)nc2c(=O)n1Cc1cccc(C=Cc2ccc3cc(Cl)ccc3n2)c1,0.0,0.38732405348929155,4.680620000000003,2.8732891019392746,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
O=C(O)c1cc(F)ccc1Nc1ccc(Br)cc1,0.0,0.8996421316556833,4.030000000000001,1.71879327214576,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC1(C)CC(=O)C(=O)CC(=NNC(=O)c2ccccc2)C1,0.0,0.5137869148846185,2.1207000000000003,2.481912585949411,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
O=C1C(=Nn2cccc2)c2ncccc2N1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.0,0.5560719333187673,4.719900000000002,3.055033220597031,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCCSc1ncnc2c1sc1ccccc12,0.0,0.5170716385379329,4.346600000000003,2.3568084279944035,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCOCC1CN(Cc2ccoc2)Cc2cnn(C)c21,0.0,0.8383591595305095,2.149,3.574626823870479,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC(C)Cc1ccc2c(C(=O)c3cccs3)c(-c3ccccc3)sc2c1,0.0,0.340743531228183,7.059300000000005,2.2730313356175067,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC(C)(C)c1nc2c(C(F)(F)F)cccn2c1Cc1ccccc1F,0.0,0.5672743591203936,5.380500000000004,2.6270903764481357,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1cc(C)n2ncc(C(=O)c3ccc(C)s3)c2n1,0.0,0.6731975280574259,2.9470600000000013,2.4489737621021668,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1nc(-c2cc(C(=O)N3CCC(c4ccc(CN5CC(C)NC(C)C5)cc4)CC3)c(C)cc2C2CCC2)n[nH]1,0.0,0.41308239812704717,5.258220000000005,3.837068338630984,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
COc1ccc(C(=O)NN=C(CCN2CCN(Cc3ccccc3)CC2)c2c(O)ccc3ccccc23)cc1OC,0.0,0.21496316449602204,4.904600000000005,2.530579677752673,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1ccc(C(=O)NN=Cc2ccc(OC(=O)C(=Cc3ccco3)c3ccccc3)cc2)cc1,0.0,0.1325746429764642,5.498120000000005,2.376955917597842,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC1(C(=O)NC(CC(=O)O)CC2CCCCC2)CC1(Cl)Cl,0.0,0.729744846925601,3.500200000000002,3.366754643450604,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1c[nH]c(=Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc2C)c(N)n1,0.0,0.6161689484639552,4.112240000000002,2.8661531907519944,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCc1ccc(Cc2c(C)c(C(=O)OCC(=O)N(C)C)c3n(c2=O)NC(=O)CS3(=O)=O)cc1,0.0,0.5987760548642473,0.41232000000000163,3.174581235545052,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Clc1nssc1=Nc1ccccc1,0.0,0.6889992536621331,3.0904000000000016,2.9166344868509313,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCOC(=O)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1,0.0,0.7063769029000233,3.817300000000002,1.7266037822221456,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCC(=O)NCc1c(F)cccc1N1CCc2c(OC)cc3c(c2C1)CCO3,0.0,0.8589644948396395,3.358100000000002,2.761052544662663,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1ccc(C2=NN(S(C)(=O)=O)C(c3cccs3)C2)cc1,0.0,0.8719687536330916,3.167220000000002,2.8087743315079816,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1cc(-c2c(OCC3CCCC3)c3ccc(C(F)(F)F)cc3[nH]c2=O)cc(C)c1C,0.0,0.5009002527632199,6.708160000000005,2.5948031669297684,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
Cc1cc2oc(=O)n(CC3CCCCO3)c2cc1S(=O)(=O)NCc1ccccc1,0.0,0.6672003966288881,2.950520000000001,2.866276611532335,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CC1CC(=O)Nc2cccc(NCC(C)Oc3ccc(C(F)(F)F)cc3)c2N1,0.0,0.6874941149752865,4.727400000000003,3.4122854949845625,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1cc2sc(=NC(=O)OC)[nH]c2cc1OC,0.0,0.4857730523552542,3.4796000000000022,3.8756199513152545,6.356409870437709,0.9897959183673469,0.0,0,0,0,0,9.117325499990436
